Number of Features,accuracy,precision,recall,f1,precision_recall_auc
54,0.7773700878194278,0.45262619118667036,0.6742752805820315,0.5415912707992374,0.6106896229678483
55,0.7771407407534603,0.45225850104704124,0.6737724888613164,0.5411701254926565,0.6106965713345769
56,0.7769769674157597,0.45196555549684636,0.6732685691726357,0.5408006974238916,0.6108664327760691
57,0.7773045462877542,0.4525456449203432,0.6742758445660144,0.5415521145531683,0.6108518851857404
58,0.77733732241969,0.45256492288939654,0.6741077773391236,0.5415042451849873,0.6108561973007599
59,0.7773373546162832,0.4525592022069735,0.6739405560882071,0.5414464752450656,0.610883820703277
60,0.7773373546162832,0.45258769278567695,0.6742761265580057,0.5415681227018563,0.6108256304253085
61,0.777501117221786,0.4528764104947479,0.6749475494895945,0.5419910115114713,0.6109296092514721
62,0.7774356186189035,0.4527642253215525,0.6747800462466866,0.5418571393759819,0.610941086320375
63,0.7774356400832991,0.45277416456797,0.6747800462466866,0.5418654165487917,0.6109502189305245
64,0.7775339040859194,0.4529367107393291,0.6749481134735774,0.5420344354496349,0.6109456847456165
65,0.7775339040859194,0.4529367107393291,0.6749481134735774,0.5420344354496349,0.6109456847456165
