feature_set,classifier,best_params,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_pr_auc
f_13,SVM,"{'classifier__C': 0.1, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.809009009009009,0.8214838231943494,0.026446364709405777,0.05104925651369689,0.7445030862994614,0.8051097281362594,0.5384615384615384,0.01174496644295302,0.022988505747126436,0.37156574835791234
f_13,RF,"{'classifier__bootstrap': False, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.7992219492219492,0.48225818047151786,0.3954679985201628,0.4344346217590493,0.769816451246162,0.8054372748116606,0.5022026431718062,0.3825503355704698,0.4342857142857143,0.502645077644967
f_13,DT,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.7745290745290745,0.4216019104014224,0.4143623487130701,0.41717126597788357,0.7095635992409237,0.7782509007533573,0.43283582089552236,0.43791946308724833,0.4353628023352794,0.49024171012109385
f_13,KNN,"{'classifier__algorithm': 'auto', 'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.7073710073710073,0.35118630521810157,0.5898472596585804,0.4402325501995099,0.7268864671100477,0.7091385522436947,0.3562992125984252,0.6073825503355704,0.4491315136476427,0.5201638424889434
f_13,MLP,"{'classifier__activation': 'logistic', 'classifier__alpha': 0.001, 'classifier__early_stopping': True, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'constant', 'classifier__max_iter': 200, 'classifier__n_iter_no_change': 5, 'classifier__random_state': 42, 'classifier__solver': 'adam', 'classifier__validation_fraction': 0.1}",0.7059377559377559,0.3669936085557773,0.6981400736395187,0.48083307476981607,0.7770678980871029,0.7238781526367507,0.3906111603188663,0.7399328859060402,0.5113043478260869,0.5906568904560496
f_14,SVM,"{'classifier__C': 0.1, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.8091728091728092,0.7816498839324926,0.029384458185790042,0.05643304645104545,0.7437047934048165,0.8070750081886668,0.6666666666666666,0.02348993288590604,0.04538087520259319,0.44039438231804856
f_14,RF,"{'classifier__bootstrap': False, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.8040540540540541,0.49775538542182246,0.38224239381287106,0.4321718132302904,0.7770576821068625,0.8116606616442843,0.5237020316027088,0.38926174496644295,0.4465832531280077,0.5160953832076024
f_14,DT,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.775020475020475,0.4211016198491591,0.4047152194211018,0.41189429201639066,0.7111125810061416,0.7785784474287586,0.43506493506493504,0.44966442953020136,0.44224422442244227,0.49608233706337235
f_14,KNN,"{'classifier__algorithm': 'auto', 'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.7127354627354627,0.3569661332690196,0.5877420150450117,0.4440592229816363,0.7271200120888613,0.7166721257779234,0.3606217616580311,0.5838926174496645,0.4458680333119795,0.5128729773036022
f_14,MLP,"{'classifier__activation': 'logistic', 'classifier__alpha': 0.001, 'classifier__early_stopping': True, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'constant', 'classifier__max_iter': 200, 'classifier__n_iter_no_change': 5, 'classifier__random_state': 42, 'classifier__solver': 'adam', 'classifier__validation_fraction': 0.1}",0.704095004095004,0.3653873716290533,0.6991966597959939,0.47978847197387153,0.7770323419238854,0.7052079921388797,0.37375415282392027,0.7550335570469798,0.5,0.5883047622397409
f_15,SVM,"{'classifier__C': 0.1, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.8091728091728092,0.8018382583599974,0.02896473054630657,0.05575598692399776,0.7572661293131282,0.8074025548640681,0.7,0.02348993288590604,0.045454545454545456,0.45706104898471517
f_15,RF,"{'classifier__bootstrap': False, 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.8107698607698607,0.5221514955154593,0.36314192343604107,0.42817540257858483,0.7812083822336795,0.8175565018015067,0.5467625899280576,0.3825503355704698,0.4501480750246792,0.5249250510230927
